bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,0,0,0,,70,14171,abr,abro1238,"{""meds"": [[""71330"", ""grammar_sketch"", 1983, 46, ""Timyan-Ravenhill, Judith 1983""], [""107563"", ""grammar_sketch"", 1979, 31, ""Dolphyne, Florence Abena 1979""], [""30894"", ""wordlist_or_less"", 1921, 16, ""Tauxier, Louis 1921""], [""8689"", ""wordlist_or_less"", 1904, 5, ""Delafosse, Maurice 1904""], [""158009"", ""wordlist_or_less"", 1889, 1, ""Christaller, J. G. 1889/1890""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q34831""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abron_dialect""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",7.72094,language,-2.50289,Africa,,Abron,'Abron [abro1238][abr]-l-':1,16861
False,Spoken L1 Language,4,0,0,,70,8338,abn,abua1244,"{""meds"": [[""553411"", ""grammar_sketch"", 2006, 0, ""Kiikpoye Jonny Joshua 2006""], [""109744"", ""phonology_or_text"", 1980, 112, ""Gardner, Ian 1980""], [""32463"", ""phonology_or_text"", 1969, 26, ""Wolff, Hans 1969""], [""13900"", ""phonology_or_text"", 1937, 2, ""Ward, Ida Caroline 1937""], [""150176"", ""wordlist_or_less"", 1914, 2, ""Thomas, Northcote Whitridge 1914""]], ""links"": [{""label"": null, ""url"": ""http://crubadan.org/languages/abn""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abua_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/abua1244""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q34835""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",4.83057,language,6.61492,Africa,,Abua,"('Central Abuan [cent2029]':1,'Emughan [emug1238]':1,'Okpeden [okpe1247]':1,'Otapha [otap1238]':1)'Abua [abua1244][abn]-l-':1",11144
False,Spoken L1 Language,0,0,0,,426,7673,aah,abua1245,"{""meds"": [[""43025"", ""long_grammar"", 1985, 314, ""Otto Nekitel 1985""], [""106174"", ""phonology_or_text"", 1977, 48, ""Nekitel, Otto Ignatius Manganau Soko'um 1977""]], ""links"": [{""label"": ""Abu'"", ""url"": ""http://endangeredlanguages.com/lang/10569""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q4670715""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abu%E2%80%99_Arapesh_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-3.461612,language,142.917031,Papunesia,,Abu' Arapesh,'Abu'' Arapesh [abua1245][aah]-l-':1,10444
False,Spoken L1 Language,3,0,0,,414,3371,abz,abui1241,"{""meds"": [[""91131"", ""long_grammar"", 2007, 560, ""Franti\u0161ek Kratochv\u00edl 2007""], [""145639"", ""grammar_sketch"", 1984, 57, ""W. Stokhof 1984""], [""307826"", ""phonology_or_text"", 1940, 93, ""Nicolspeyer, Martha Margaretha 1940""]], ""links"": [{""label"": ""Abui"", ""url"": ""http://endangeredlanguages.com/lang/1381""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q2822110""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abui_language""}, {""label"": ""Abui"", ""url"": ""https://wals.info/languoid/lect/wals_code_abv""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-8.31058,language,124.588,Papunesia,,Abui,"('Alakaman [alak1254]':1,'Atimelang [atim1239]':1,'Kobola [kobo1247]':1)'Abui [abui1241][abz]-l-':1",5230
False,Spoken L1 Language,3,0,0,,,,kgr,abun1252,"{""meds"": [[""59948"", ""grammar"", 1999, 248, ""Keith Berry and Christine Berry 1999""], [""79456"", ""grammar"", 1995, 225, ""Berry, Keith 1995""], [""19573"", ""wordlist_or_less"", 1879, 3, ""A. A. Bruijn 1879""], [""109606"", ""wordlist_or_less"", 1855, 1, ""Fabritius, G. J. 1855""]], ""links"": [{""label"": ""Abun"", ""url"": ""http://endangeredlanguages.com/lang/10730""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q56657""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abun_language""}, {""label"": ""Abun"", ""url"": ""https://wals.info/languoid/lect/wals_code_abu""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-0.57073,language,132.416,Papunesia,,Abun,"('Abun Je [abun1253]':1,'Abun Ji [abun1255]':1,'Abun Tat [abun1254]':1)'Abun [abun1252][kgr]-l-':1",36
False,Spoken L1 Language,0,0,0,,70,11218,abu,abur1243,"{""meds"": [[""578779"", ""grammar"", 2019, 0, ""Yangra, Aboi F. 2019""], [""60494"", ""grammar_sketch"", 1983, 15, ""Burmeister, Jonathan L. 1983""], [""155507"", ""phonology_or_text"", 1902, 0, ""Bailleul, P. 1902""], [""576450"", ""wordlist_or_less"", 1890, 40, ""Reichenbach, J. C. 1890""], [""574398"", ""wordlist_or_less"", 1745, 32, ""Loyer, G. 1745""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q34767""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abure_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/abur1243""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",5.21534,language,-3.64123,Africa,,Abure,'Abure [abur1243][abu]-l-':1,14166
False,Spoken L1 Language,0,0,0,,70,8337,mgj,abur1244,"{""meds"": [[""146170"", ""wordlist_or_less"", 1998, 2, ""Connell, Bruce 1998""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q3441256""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abureni_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",4.62301,language,6.50634,Africa,,Abureni,'Abureni [abur1244][mgj]-l-':1,11138
False,Spoken L1 Language,3,0,0,,9,1940,ado,abuu1241,"{""meds"": [[""306728"", ""wordlist_or_less"", 1972, 10, ""John A. Z'graggen 1972""], [""37308"", ""wordlist_or_less"", 1969, 2, ""John A. Z'graggen 1969""]], ""links"": [{""label"": ""Abu"", ""url"": ""http://endangeredlanguages.com/lang/10638""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q56659""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Adjora_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-4.24027,language,144.474,Papunesia,,Abu,"('Auwa [auwa1242]':1,'Nuclear Abu [nucl1640]':1,'Sabu {Papua New Guinea} [sabu1256]':1)'Abu [abuu1241][ado]-l-':1",3539
False,Spoken L1 Language,3,0,0,,54,10637,tpx,acat1239,"{""meds"": [[""574940"", ""grammar_sketch"", 2016, 149, ""Mentado Basilio, Alejandra 2016""], [""87907"", ""grammar_sketch"", 1935, 28, ""Radin, Paul 1935""]], ""links"": [{""label"": ""Tlapanec"", ""url"": ""http://endangeredlanguages.com/lang/3513""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q31157882""}, {""label"": null, ""url"": ""https://phoible.org/languages/acat1239""}, {""label"": ""Tlapanec"", ""url"": ""https://wals.info/languoid/lect/wals_code_tlp""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",17.1034,language,-99.0602,North America,,Acatepec Me'phaa,"('Acatepec [acat1240]':1,'Platanillo [plat1255]':1,'Zapotitlán Tablas [zapo1435]':1)'Acatepec Me''phaa [acat1239][tpx]-l-':1",13558
False,Spoken L1 Language,3,0,0,,337,13027,acn,acha1249,"{""meds"": [[""322078"", ""long_grammar"", 2005, 335, ""Dai, Qingxia 2005""], [""62425"", ""grammar"", 1985, 135, ""Dai, Chuangxia 1985""], [""300641"", ""phonology_or_text"", 1983, 12, ""Dai, Qingxia and Cui, Zhichao 1983""], [""439579"", ""wordlist_or_less"", 1909, 21, ""Davies, Henry R. 1909""]], ""links"": [{""label"": null, ""url"": ""http://crubadan.org/languages/acn""}, {""label"": ""Xiandao"", ""url"": ""http://endangeredlanguages.com/lang/3255""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Achang_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/acha1249""}, {""label"": ""Achang"", ""url"": ""https://wals.info/languoid/lect/wals_code_acn""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q56582""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",24.3479,language,97.7438,Eurasia,,Longchuan Achang,"('Longchuan [long1373]':1,'Maingtha [main1270]':1,'Xiandao [xian1249][xia]':1)'Longchuan Achang [acha1249][acn]-l-':1",15944
